time (yyyyDDD),wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm)
2003305,0.5,1.8369919416727498E-5,0.9327560663223267
2003305,1.5,2.603883040137589E-4,0.9327560663223267
2003305,2.5,7.620567339472473E-5,0.9327560663223267
2003305,3.5,4.402380727697164E-5,0.9327560663223267
2003305,4.5,6.95082126185298E-5,0.9327560663223267
2003305,5.5,5.974640225758776E-5,0.9327560663223267
2003305,6.5,6.819770351285115E-5,0.9327560663223267
2003305,7.5,1.229987246915698E-4,0.9327560663223267
2003305,8.5,1.0598877270240337E-4,0.9327560663223267
2003305,9.5,8.22240617708303E-5,0.9327560663223267
2003305,10.5,5.6958400818984956E-5,0.9327560663223267
2003305,11.5,3.64278930646833E-5,0.9327560663223267
2003305,12.5,2.1827436285093427E-5,0.9327560663223267
2003305,13.5,2.218459121650085E-5,0.9327560663223267
2003305,14.5,4.557853389997035E-5,0.9327560663223267
2003305,15.5,5.040901305619627E-5,0.9327560663223267
2003305,16.5,9.867668995866552E-5,0.9327560663223267
2003305,17.5,4.876169259659946E-4,0.9327560663223267
2003305,18.5,3.0305812833830714E-4,0.9327560663223267
2003305,19.5,2.789936843328178E-4,0.9327560663223267
2003305,20.5,2.2022207849659026E-4,0.9327560663223267
2003305,21.5,1.9095814786851406E-4,0.9327560663223267
2003305,22.5,1.7253553960472345E-4,0.9327560663223267
2003305,23.5,9.808651520870626E-5,0.9327560663223267
2003305,24.5,1.2829122715629637E-4,0.9327560663223267
2003305,25.5,2.0757339370902628E-4,0.9327560663223267
2003305,26.5,8.771914144745097E-5,0.9327560663223267
2003305,27.5,5.188545765122399E-5,0.522903323173523
2003305,28.5,8.743444050196558E-5,0.44446420669555664
2003305,29.5,5.201085514272563E-5,0.33488595485687256
2003305,30.5,6.246374687179923E-4,0.3544643819332123
2003305,31.5,6.363930151565E-5,0.22612643241882324
2003305,32.5,2.6059269657707773E-5,0.17903804779052734
2003305,33.5,7.867599197197706E-5,0.12962567806243896
2003305,34.5,6.785532605135813E-5,0.0862104594707489
2003305,35.5,7.113410538295284E-5,0.0840936005115509
2003305,36.5,1.110868324758485E-4,0.08084717392921448
2003305,37.5,2.5280223781010136E-5,0.09787654876708984
2003305,38.5,1.2476755728130229E-5,0.09181072562932968
2003305,39.5,8.103475920506753E-6,0.09292930364608765
2003305,40.5,1.0549168109719176E-5,0.08932299166917801
2003305,41.5,1.1678743248921819E-5,0.08755195140838623
2003305,42.5,7.390548034891253E-6,0.0924406498670578
2003305,43.5,1.3988073988002725E-5,0.08509515970945358
2003305,44.5,9.809405128180515E-6,0.0876922532916069
2003305,45.5,9.257950296159834E-6,0.09174686670303345
2003305,46.5,2.289684744027909E-5,0.0887579396367073
2003305,47.5,1.1262094631092623E-5,0.0832921490073204
2003305,48.5,1.755945777404122E-5,0.07469190657138824
2003305,49.5,2.9292943509062752E-5,0.0853082463145256
2003305,50.5,2.842481990228407E-5,0.08145146071910858
2003305,51.5,1.1795839782280382E-5,0.08305057883262634
2003305,52.5,1.4148556147119962E-5,0.09224140644073486
2003305,53.5,1.0533422027947381E-5,0.09059072285890579
2003305,54.5,7.002342499617953E-6,0.08558164536952972
2003305,55.5,3.348069003550336E-5,0.08514491468667984
2003305,56.5,8.878585504135117E-6,0.08353576064109802
2003305,57.5,8.141747457557358E-6,0.08170679211616516
2003305,58.5,6.868764467071742E-5,0.10935857146978378
2003305,59.5,1.0524714525672607E-5,0.08106408268213272
2003305,60.5,2.8805114197894E-5,0.13412471115589142
2003305,61.5,2.3131204216042534E-5,0.12520283460617065
2003305,62.5,4.8937501560430974E-5,0.1138330027461052
2003305,63.5,3.864649625029415E-5,0.13762624561786652
2003305,64.5,5.801634415547596E-6,0.08393416553735733
2003305,65.5,5.166473329154542E-6,0.08472386747598648
2003305,66.5,5.653272182826186E-6,0.08465401828289032
2003305,67.5,4.66481924377149E-6,0.09018488228321075
2003305,68.5,9.220706488122232E-6,0.07569695264101028
2003305,69.5,7.158373591664713E-6,0.07263287901878357
2003305,70.5,1.4421161722566467E-5,0.07940278947353363
2003305,71.5,5.920401235925965E-6,0.08066141605377197
2003305,72.5,6.749154181306949E-6,0.07594116032123566
2003305,73.5,4.110586360184243E-6,0.08888190239667892
2003305,74.5,5.7611555348557886E-6,0.07349313050508499
2003305,75.5,7.952216037665494E-6,0.07504457235336304
2003305,76.5,1.9481909475871362E-5,0.07276160269975662
2003305,77.5,1.879353294498287E-5,0.08006057143211365
2003305,78.5,2.5026160074048676E-5,0.08344604074954987
2003305,79.5,1.7829355783760548E-5,0.08736463636159897
2003305,80.5,1.4396058759302832E-5,0.06794244050979614
2003305,81.5,1.5472814993700013E-5,0.06947055459022522
2003305,82.5,1.894651177281048E-5,0.07188276201486588
2003305,83.5,4.166484723100439E-5,0.0855666995048523
2003305,84.5,2.6903780963039026E-5,0.07410969585180283
2003305,85.5,3.2833439036039636E-5,0.07283233851194382
2003305,86.5,3.769887189264409E-5,0.07547704875469208
2003305,87.5,4.5775774196954444E-5,0.07234750688076019
2003305,88.5,5.3806481446372345E-5,0.07434398680925369
2003305,89.5,6.135112926131114E-5,0.08214817196130753
2003305,90.5,7.30503088561818E-5,0.08170488476753235
2003305,91.5,6.577741442015395E-5,0.08251476287841797
2003305,92.5,2.2716540115652606E-5,0.07349200546741486
2003305,93.5,2.309683259227313E-5,0.06995315849781036
2003305,94.5,1.6968899217317812E-5,0.0837039053440094
2003305,95.5,1.3868078895029612E-5,0.08878921717405319
2003305,96.5,1.0212525012320839E-5,0.07679442316293716
2003305,97.5,1.6558477364014834E-4,0.10877060890197754
2003305,98.5,2.0255352865206078E-5,0.08486620336771011
2003305,99.5,3.0087088816799223E-5,0.08324704319238663
2003305,100.5,1.5200688721961342E-5,0.07835078984498978
2003305,101.5,1.802029692044016E-5,0.07432372868061066
2003305,102.5,1.527907297713682E-4,0.10983389616012573
2003305,103.5,1.355823769699782E-4,0.08317440003156662
2003305,104.5,2.4194403522415087E-5,0.07701718807220459
2003305,105.5,1.9925402739318088E-5,0.07009987533092499
2003305,106.5,2.1134404960321262E-5,0.06962509453296661
2003305,107.5,2.4055520043475553E-5,0.0719112753868103
2003305,108.5,3.897648275597021E-5,0.07653672248125076
2003305,109.5,2.6236308258376084E-5,0.07185187190771103
2003305,110.5,3.070962702622637E-5,0.07312774658203125
2003305,111.5,2.8993814339628443E-5,0.07087723165750504
2003305,112.5,2.9449272915371694E-5,0.06884393841028214
2003305,113.5,2.0152005163254216E-5,0.07888691127300262
2003305,114.5,2.3108217646949925E-5,0.30000001192092896
2003305,115.5,2.6064430130645633E-5,0.06591637432575226
2003305,116.5,2.8429680241970345E-5,0.042143721133470535
2003305,117.5,1.0531852603890002E-4,0.045544542372226715
2003305,118.5,3.86184110539034E-5,0.03428551182150841
2003305,119.5,7.055159949231893E-5,0.036621686071157455
2003305,120.5,2.234612766187638E-4,0.05886215716600418
2003305,121.5,0.009099972434341908,0.10244202613830566
2003305,122.5,8.267299563158303E-5,0.03430543839931488
2003305,123.5,5.3443432989297435E-5,0.04119602590799332
2003305,124.5,3.927517536794767E-5,0.038664303719997406
2003305,125.5,3.5780445614364E-5,0.03476361185312271
2003305,126.5,5.048588354839012E-5,0.0488276332616806
2003305,127.5,2.5421515601919964E-5,0.03614387661218643
2003305,128.5,1.9862447516061366E-5,0.037554044276475906
2003305,129.5,2.9260190785862505E-5,0.1138402447104454
2003305,130.5,1.9032374257221818E-4,0.09083501994609833
2003305,131.5,3.1076298910193145E-5,0.10949449986219406
2003305,132.5,2.5072009520954452E-5,0.1297667771577835
2003305,133.5,2.619842707645148E-4,0.10796584188938141
2003305,134.5,2.316918471478857E-5,0.13355036079883575
2003305,135.5,4.970339796273038E-5,0.10830608010292053
2003305,136.5,3.173003642586991E-5,0.10884220898151398
2003305,137.5,3.42939565598499E-5,0.11537018418312073
2003305,138.5,3.379777990630828E-5,0.122168630361557
2003305,139.5,1.0142772225663066E-4,0.10665726661682129
2003305,140.5,8.342928776983172E-5,0.10598776489496231
2003305,141.5,4.584375346894376E-5,0.11243931204080582
2003305,142.5,5.016869545215741E-5,0.10876765102148056
2003305,143.5,5.617877468466759E-5,0.10822930186986923
2003305,144.5,5.561673242482357E-5,0.1033867746591568
2003305,145.5,6.126562220742926E-5,0.10273289680480957
2003305,146.5,7.272425864357501E-5,0.1013379767537117
2003305,147.5,9.11210518097505E-5,0.09552677720785141
2003305,148.5,9.138003224506974E-5,0.09588276594877243
2003305,149.5,8.271435945061967E-5,0.09938256442546844
2003305,150.5,9.097827569348738E-5,0.09792125225067139
2003305,151.5,1.0092350566992536E-4,0.0944783017039299
2003305,152.5,1.286218175664544E-4,0.09246689081192017
2003305,153.5,1.3819258310832083E-4,0.09162332117557526
2003305,154.5,2.5300454581156373E-4,0.09518501162528992
2003305,155.5,2.111562353093177E-4,0.0911630392074585
2003305,156.5,2.0130319171585143E-4,0.08898814767599106
2003305,157.5,1.7976303934119642E-4,0.08986330032348633
2003305,158.5,1.7649520304985344E-4,0.09065872430801392
2003305,159.5,1.742120657581836E-4,0.09071996808052063
2003305,160.5,1.8851323693525046E-4,0.09142987430095673
2003305,161.5,2.255885920021683E-4,0.09093998372554779
2003305,162.5,2.614766708575189E-4,0.08836700767278671
2003305,163.5,2.7793642948381603E-4,0.08877504616975784
2003305,164.5,3.309751336928457E-4,0.08853436261415482
2003305,165.5,5.251275142654777E-4,0.08875229209661484
2003305,166.5,3.479548613540828E-4,0.08835522830486298
2003305,167.5,4.2009848402813077E-4,0.0871446430683136
2003305,168.5,4.4005722156725824E-4,0.08640972524881363
2003305,169.5,5.862920661456883E-4,0.08427165448665619
2003305,170.5,6.770032341592014E-4,0.08344140648841858
2003305,171.5,6.831259815953672E-4,0.08408378064632416
2003305,172.5,7.566133281216025E-4,0.08404727280139923
2003305,173.5,7.52079882659018E-4,0.08423026651144028
2003305,174.5,9.292977629229426E-4,0.0830005630850792
2003305,175.5,0.0011412573512643576,0.08221735060214996
2003305,176.5,0.0012360314140096307,0.0812792256474495
2003305,177.5,0.001495015574619174,0.08042366057634354
2003305,178.5,0.001685426221229136,0.08045650273561478
2003305,179.5,0.0017380856443196535,0.0805789902806282
2003305,180.5,0.0022578148636966944,0.0801253467798233
2003305,181.5,0.0026613150257617235,0.08080195635557175
2003305,182.5,0.0025046472437679768,0.07947523146867752
2003305,183.5,0.002684165257960558,0.07921499758958817
2003305,184.5,0.0023403787054121494,0.08050636202096939
2003305,185.5,0.0026512551121413708,0.0800011083483696
2003305,186.5,0.0030775100458413363,0.07889322191476822
2003305,187.5,0.003424452617764473,0.07854744791984558
2003305,188.5,0.0033590972889214754,0.07876354455947876
2003305,189.5,0.0024894096422940493,0.08349359780550003
2003305,190.5,-1.0,100.0
